Nama UMKM                               , Produk Utama                            , Total Aset (Juta), Penjualan Rata-rata Per Tahun (Juta), Jumlah Tenaga Kerja, Nama Badan Hukum       , Kategori                                                                  , Sistem Penjualan      , Target Pasar                                                               , Proyeksi Pertumbuhan (%/tahun), Kebutuhan Biaya Kredit (Juta), Nilai Aset Jaminan Kredit, Jumlah Dokumen Kredit, Label      , pendanaan
Kios Perancangan                        , Pupuk                                   , 361.0            , 400.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %              , 25.0                          , 6.0                          , 0.0                      , 5                    , LAYAK      , 742.7844815516538
LAPAK BAHTERA AYAM POTONG               , DAGANG                                  , 44.6             , 576.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %              , 30.0                          , 9.0                          , 15.0                     , 3                    , LAYAK      , 736.8317799921592
Budidaya Jamur Tiram                    , Budidaya Jamur tiram                    , 15.3             , 36.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 sd 10 juta/bulan)   100.00 %        , 10.0                          , 10.0                         , 30.0                     , 6                    , TIDAK LAYAK, 66.51091815001213
Holtikultura Srimulyanti                , Holtikultura                            , 125.8            , 75.6                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %                , 125.8                         , 3.0                          , 92.0                     , 12                   , LAYAK      , 226.4305821294553
Toko Pertanian Bu Siswarsini            , Toko pertanian                          , 218.0            , 84.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 sd 10 juta/bulan)   100.00 %        , 5.0                           , 9.5                          , 39.0                     , 7                    , TIDAK LAYAK, 261.4175267844214
Bangga Aquatic                          , Ikan hias                               , 69.4             , 28.8                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel dan Distributor , Masyarakat Gol Bawah (penghasilan sd 5 sd 10 juta/bulan)   80.00 %         , 15.0                          , 5.0                          , 200.0                    , 9                    , LAYAK      , 105.02362046939204
Itama Mandiri                           , madu kelulut                            , 51.1             , 34.56                               , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 sd 10 juta/bulan)   10.00 %         , 30.0                          , 10.0                         , 50.0                     , 8                    , LAYAK      , 112.8472461220818
Jual Beli Kopi Sanusi                   , Tani Kopi                               , 90.0             , 22.0                                , 4                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %                , 22.0                          , 20.0                         , 120.0                    , 4                    , TIDAK LAYAK, 110.78544223196857
Amri Anugerah                           , Budidaya Ikan Lele                      , 27.5             , 40.5                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80.00 %               , 10.0                          , 2.0                          , 13.0                     , 8                    , LAYAK      , 83.44172979643609
HASIL TANI SEJAHTERA                    , PADI                                    , 2130.5           , 54.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %              , 20.0                          , 10.0                         , 10.0                     , 8                    , TIDAK LAYAK, 1554.6588179487692
Petani Rival                            , pertanian                               , 1568.5           , 35.0                                , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %               , 10.0                          , 5.0                          , 150.0                    , 6                    , TIDAK LAYAK, 1157.7069770252087
Peyek Tasya                             , Peyek                                   , 0.0              , 0.0                                 , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %               , 10.0                          , 5.0                          , 150.0                    , 6                    , TIDAK LAYAK, 33.47109395603474
Karasi Bayu                             , Karasi                                  , 0.0              , 0.0                                 , 3                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %               , 20.0                          , 2.5                          , 200.0                    , 6                    , TIDAK LAYAK, 29.865019265289177
Timika Bawang Goreng                    , Bawang Goreng                           , 0.0              , 0.0                                 , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Distributor           , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %               , 25.0                          , 10.0                         , 100.0                    , 5                    , TIDAK LAYAK, 13.718803479489711
Jahe Merah Al Buthuuni                  , Jahe Merah                              , 0.0              , 0.0                                 , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %               , 10.0                          , 5.0                          , 100.0                    , 4                    , TIDAK LAYAK, 14.84699064542102
AHA                                     , AHA                                     , 7.225            , 20.0                                , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel dan Distributor , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %              , 10.0                          , 8.0                          , 500.0                    , 22                   , TIDAK LAYAK, 88.00714543961422
CV Deco                                 , Jasa Konsultan                          , 1.0              , 750.0                               , 13                 , CV                     , Pertanian. Kehutanan Dan Perikanan                                        , Ritel dan Distributor , Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %                , 10.0                          , 0.0                          , 800.0                    , 22                   , LAYAK      , 966.0825607927641
Aldi Putra Benur                        , Mini Hatchery                           , 281.0            , 140.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %                , 10.0                          , 0.0                          , 0.0                      , 18                   , TIDAK LAYAK, 380.65205920773906
Opik Benur                              , Mini Hatchery                           , 52.0             , 100.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %                , 30.0                          , 0.0                          , 0.0                      , 12                   , TIDAK LAYAK, 166.6328185863794
Dua Karya Benur                         , Mini Hatchery                           , 137.0            , 200.0                               , 1                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %                , 30.0                          , 0.0                          , 0.0                      , 9                    , TIDAK LAYAK, 338.5677153018247
ARRAHMAH BELUT                          , Budidaya                                , 58.5             , 60.0                                , 2                  , Perorangan             , Pertanian. Kehutanan Dan Perikanan                                        , Ritel                 , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %               , 18.0                          , 4.0                          , 10.0                     , 9                    , TIDAK LAYAK, 115.32526233599651
